activation,batch_size,dense_2,dropout_rate,learning_rate,num_epochs,units,dense_2:activation,dense_2:units,id,objective,elapsed_sec,duration
swish,157,False,0.20590041190359493,3.7392091278628296e-05,24,101,NA,nan,1,0.39344263076782227,4.850308895111084,3.563063383102417
linear,91,True,0.19886284140876795,2.869354548398421e-05,56,108,relu,35,2,0.8196721076965332,10.10651683807373,4.976710081100464
softplus,29,True,0.4023323018420023,2.6815029929505956e-05,56,80,relu,57,3,0.7868852615356445,16.074214935302734,5.687785387039185
relu,66,True,0.09503622179067965,0.00010327267658600267,58,58,relu,112,4,0.8360655903816223,21.60603094100952,5.254801511764526
swish,142,True,0.10414976684856436,0.0006945443047359673,91,52,tanh,112,5,0.7868852615356445,28.211668252944946,6.326179504394531
relu,10,False,0.3155617237070357,7.877228251927506e-05,49,46,NA,nan,6,0.8032786846160889,35.01874852180481,6.528613567352295
swish,92,True,0.053398832116131036,0.008950481579078613,14,25,relu,36,7,0.7868852615356445,38.67588543891907,3.377189874649048
relu,29,True,0.19014546873687846,5.5520805062902096e-05,16,96,softplus,79,8,0.7540983557701111,42.67612910270691,3.720200777053833
swish,26,True,0.550226380548228,1.2442058508170653e-05,76,123,relu,104,9,0.8196721076965332,49.8908371925354,6.929704427719116
relu,177,True,0.382285065261441,0.00010778332836499411,60,75,softsign,119,10,0.7868852615356445,55.358827352523804,5.183737277984619
relu,8,True,0.4000703694616057,0.0064320116480054475,34,21,relu,80,11,0.8196721076965332,61.64204812049866,6.001729488372803
sigmoid,39,False,0.03978378398389164,0.003683371905803269,46,56,NA,nan,12,0.8196721076965332,66.62391877174377,4.6986706256866455
swish,18,False,0.06524788171994618,2.7340584531585094e-05,38,86,NA,nan,13,0.7704917788505554,71.98912215232849,5.081671714782715
tanh,191,False,0.20167756469283105,0.003231447039272587,55,36,NA,nan,14,0.8196721076965332,77.1175708770752,4.847804546356201
swish,156,False,0.13597584979427546,0.0005434980114817978,51,126,NA,nan,15,0.8524590134620667,82.13847184181213,4.734615325927734
softplus,233,False,0.152349707480145,0.00027214258180531227,58,114,NA,nan,16,0.8032786846160889,87.1757709980011,4.747596025466919
sigmoid,30,False,0.04640838326886911,0.00014286763910434486,31,127,NA,nan,17,0.7704917788505554,91.92885255813599,4.4607343673706055
relu,157,False,0.3497195657070719,1.3212363522030266e-05,62,44,NA,nan,18,0.37704917788505554,97.29130411148071,5.0713019371032715
swish,42,False,0.3847691033955744,9.308118882470113e-05,44,11,NA,nan,19,0.5901639461517334,102.41656494140625,4.829019546508789
relu,186,True,0.28199675969331744,2.877046347008437e-05,48,39,tanh,89,20,0.7213114500045776,107.32050085067749,4.618186950683594
