activation,batch_size,dropout_rate,learning_rate,num_epochs,units,id,objective,elapsed_sec,duration
relu,32,0.5,0.001,50,32,1,0.8196721076965332,577.6301319599152,7.254437208175659
tanh,96,0.05702414439097165,0.00011767918758720389,80,35,2,0.7704917788505554,582.1295738220215,4.2937400341033936
relu,181,0.4127952111814081,0.0009242379284014063,31,23,3,0.7868852615356445,585.3708019256592,3.035437822341919
elu,11,0.046230007453485995,0.0042858151427593106,60,65,4,0.7868852615356445,590.54962682724,4.977014780044556
tanh,33,0.2290900728436499,0.006191192133953385,98,18,5,0.8032786846160889,595.9834449291229,5.2308008670806885
relu,24,0.5541308831186171,0.0013958556229072437,39,112,6,0.7868852615356445,599.6463949680328,3.462225914001465
relu,9,0.10425934729463494,0.0002141191726941154,71,26,7,0.8360655903816223,605.6558918952942,5.812508821487427
relu,12,0.24073194893719874,7.102112476232395e-05,49,120,8,0.8360655903816223,610.43922996521,4.58869194984436
tanh,8,0.32634916135218894,2.5088771436531535e-05,64,118,9,0.7868852615356445,616.5184240341187,5.870368957519531
elu,10,0.033548317868723566,7.115178383489635e-05,27,120,10,0.8524590134620667,620.44935297966,3.730647087097168
swish,10,0.016660968103253793,0.0003420163201102524,18,70,11,0.8524590134620667,646.4137170314789,25.76631808280945
relu,32,0.5,0.001,50,32,12,0.8196721076965332,650.3943178653717,3.981400966644287
gelu,10,0.19323514988795004,9.093854450246771e-05,31,65,13,0.8032786846160889,654.5408959388733,7.900733947753906
swish,28,0.01645718509922651,1.283391198052142e-05,19,94,14,0.5737704634666443,657.6081411838531,6.997800350189209
selu,8,0.21339787521784326,1.565721639150345e-05,12,29,15,0.6393442749977112,660.7361290454865,5.962594032287598
swish,112,0.4166767346093255,0.00033832685466143837,72,29,16,0.8196721076965332,664.6599600315094,6.833281993865967
swish,13,0.4138757611174447,5.1771797833394656e-05,13,104,17,0.7377049326896667,667.74174284935,6.798973321914673
swish,13,0.07964624766198411,0.005732848786055661,20,72,18,0.7868852615356445,671.0907640457153,6.2245612144470215
sigmoid,17,0.03607440006915106,0.0003081557313347908,34,69,19,0.8196721076965332,674.7836198806763,6.832809209823608
tanh,12,0.0017167046759510418,0.0001726697174441295,45,17,20,0.8032786846160889,678.9466388225555,7.645569801330566
elu,79,0.008499301786734258,0.006919319370235595,79,81,21,0.8032786846160889,805.302533864975,130.30933785438538
softplus,39,0.0958551681913575,4.944115087233576e-05,30,125,22,0.7868852615356445,805.3027129173279,126.13665914535522
relu,32,0.5,0.001,50,32,23,0.8360655903816223,809.1540260314941,3.8521931171417236
relu,118,0.14920668613456148,2.7971297794639612e-05,100,38,24,0.7049180269241333,813.8091280460358,8.101171970367432
