-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.260ms        43.54%      14.260ms      23.454us           0 b           0 b           0 b           0 b           608  
                                              aten::sum         1.79%       8.223ms         2.42%      11.078ms      82.672us       3.665ms        11.19%       3.665ms      27.348us           0 b           0 b     529.00 Kb     527.00 Kb           134  
at::native::xpu::ReduceKernel<4, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us       3.620ms        11.05%       3.620ms      27.422us           0 b           0 b           0 b           0 b           132  
                                        adam_fused_step         2.10%       9.618ms         3.77%      17.292ms      46.989us       2.886ms         8.81%       2.886ms       7.843us           0 b           0 b           0 b           0 b           368  
at::AtenIpexTypeXPU::UnrolledElementwiseKernelForMul...         0.00%       0.000us         0.00%       0.000us       0.000us       2.886ms         8.81%       2.886ms       7.843us           0 b           0 b           0 b           0 b           368  
                                            aten::copy_         3.33%      15.280ms         6.12%      28.048ms      27.607us       2.767ms         8.45%       2.767ms       2.723us           0 b           0 b           0 b           0 b          1016  
                                       c10d::allreduce_         1.12%       5.130ms         1.38%       6.310ms     394.352us       2.060ms         6.29%       2.060ms     128.750us           0 b           0 b           0 b           0 b            16  
allreduce_large_read_write_ipc<float, 2, 2>(void con...         0.00%       0.000us         0.00%       0.000us       0.000us       1.884ms         5.75%       1.884ms     117.740us           0 b           0 b           0 b           0 b            16  
                                              aten::mul         3.18%      14.563ms         5.68%      26.051ms      50.487us       1.673ms         5.11%       1.673ms       3.242us          40 b          40 b     111.25 Mb     111.25 Mb           516  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.668ms         5.09%       1.668ms       3.690us           0 b           0 b           0 b           0 b           452  
                                              aten::bmm         4.20%      19.242ms         5.27%      24.185ms     111.967us       1.657ms         5.06%       1.657ms       7.670us           0 b           0 b     111.37 Mb           0 b           216  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.640ms         5.01%       1.640ms       3.202us           0 b           0 b           0 b           0 b           512  
                           onednn_mm_out(640, 512, 512)         1.12%       5.118ms         1.33%       6.113ms     127.351us       1.229ms         3.75%       1.229ms      25.613us           0 b           0 b           0 b           0 b            48  
                       aten::native_layer_norm_backward         1.23%       5.663ms         1.87%       8.578ms     134.033us       1.220ms         3.73%       1.220ms      19.068us           0 b           0 b      49.38 Mb           0 b            64  
                           onednn_mm_out(512, 512, 640)         1.11%       5.092ms         1.27%       5.831ms     161.974us     970.560us         2.96%     970.560us      26.960us           0 b           0 b           0 b           0 b            36  
                           onednn_addmm(640, 2048, 512)         0.32%       1.472ms         0.39%       1.785ms     148.741us     914.240us         2.79%     914.240us      76.187us           0 b           0 b           0 b           0 b            12  
                           onednn_addmm(640, 512, 2048)         0.31%       1.400ms         0.37%       1.712ms     142.700us     907.680us         2.77%     907.680us      75.640us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(2048, 512, 640)         0.24%       1.085ms         0.29%       1.318ms     109.801us     891.520us         2.72%     891.520us      74.293us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 2048, 512)         0.26%       1.203ms         0.32%       1.462ms     121.843us     887.040us         2.71%     887.040us      73.920us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(512, 2048, 640)         0.24%       1.102ms         0.29%       1.331ms     110.936us     877.600us         2.68%     877.600us      73.133us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 512, 2048)         0.28%       1.274ms         0.33%       1.533ms     127.771us     868.160us         2.65%     868.160us      72.347us           0 b           0 b           0 b           0 b            12  
                                aten::native_layer_norm         1.10%       5.027ms         1.47%       6.735ms     105.234us     863.360us         2.64%     863.360us      13.490us           0 b           0 b      49.34 Mb           0 b            64  
