-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg      Self XPU    Self XPU %     XPU total  XPU time avg       CPU Mem  Self CPU Mem       XPU Mem  Self XPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            gemm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      13.983ms        43.87%      13.983ms      22.998us           0 b           0 b           0 b           0 b           608  
                                              aten::sum         1.30%       9.595ms         1.68%      12.412ms      92.627us       3.646ms        11.44%       3.646ms      27.207us           0 b           0 b     529.00 Kb     527.00 Kb           134  
at::native::xpu::ReduceKernel<4, at::native::xpu::Re...         0.00%       0.000us         0.00%       0.000us       0.000us       3.601ms        11.30%       3.601ms      27.282us           0 b           0 b           0 b           0 b           132  
                                        adam_fused_step         1.28%       9.501ms         2.33%      17.231ms      46.823us       2.802ms         8.79%       2.802ms       7.613us           0 b           0 b           0 b           0 b           368  
at::AtenIpexTypeXPU::UnrolledElementwiseKernelForMul...         0.00%       0.000us         0.00%       0.000us       0.000us       2.802ms         8.79%       2.802ms       7.613us           0 b           0 b           0 b           0 b           368  
                                            aten::copy_         1.98%      14.629ms         3.72%      27.546ms      27.112us       2.583ms         8.10%       2.583ms       2.542us           0 b           0 b           0 b           0 b          1016  
                                       c10d::allreduce_         5.45%      40.284ms         5.61%      41.466ms       2.592ms       2.053ms         6.44%       2.053ms     128.300us           0 b           0 b           0 b           0 b            16  
allreduce_large_read_write_ipc<float, 2, 2>(void con...         0.00%       0.000us         0.00%       0.000us       0.000us       1.874ms         5.88%       1.874ms     117.120us           0 b           0 b           0 b           0 b            16  
                                              aten::bmm         2.50%      18.462ms         3.16%      23.354ms     108.121us       1.604ms         5.03%       1.604ms       7.427us           0 b           0 b     111.37 Mb       2.00 Mb           216  
                                              aten::mul         1.90%      14.044ms         3.44%      25.446ms      49.313us       1.558ms         4.89%       1.558ms       3.019us          24 b          24 b     111.25 Mb     111.25 Mb           516  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.542ms         4.84%       1.542ms       3.412us           0 b           0 b           0 b           0 b           452  
at::native::xpu::VectorizedElementwiseKernel<4, at::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.527ms         4.79%       1.527ms       2.982us           0 b           0 b           0 b           0 b           512  
                           onednn_mm_out(640, 512, 512)         0.80%       5.893ms         0.93%       6.887ms     143.480us       1.220ms         3.83%       1.220ms      25.417us           0 b           0 b           0 b           0 b            48  
                       aten::native_layer_norm_backward         0.73%       5.434ms         1.12%       8.308ms     129.811us       1.202ms         3.77%       1.202ms      18.778us           0 b           0 b      49.38 Mb           0 b            64  
                           onednn_mm_out(512, 512, 640)         0.50%       3.725ms         0.60%       4.435ms     123.182us     960.000us         3.01%     960.000us      26.667us           0 b           0 b           0 b           0 b            36  
                           onednn_addmm(640, 2048, 512)         0.20%       1.507ms         0.24%       1.789ms     149.076us     905.440us         2.84%     905.440us      75.453us           0 b           0 b           0 b           0 b            12  
                           onednn_addmm(640, 512, 2048)         0.19%       1.386ms         0.22%       1.654ms     137.795us     889.760us         2.79%     889.760us      74.147us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 512, 2048)         0.16%       1.198ms         0.20%       1.450ms     120.817us     880.480us         2.76%     880.480us      73.373us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(640, 2048, 512)         0.15%       1.088ms         0.18%       1.339ms     111.578us     878.400us         2.76%     878.400us      73.200us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(512, 2048, 640)         0.15%       1.075ms         0.18%       1.304ms     108.708us     877.280us         2.75%     877.280us      73.107us           0 b           0 b           0 b           0 b            12  
                          onednn_mm_out(2048, 512, 640)         0.14%       1.048ms         0.17%       1.277ms     106.416us     859.680us         2.70%     859.680us      71.640us           0 b           0 b           0 b           0 b            12  
                                aten::native_layer_norm         0.67%       4.932ms         0.89%       6.611ms     103.302us     849.920us         2.67%     849.920us      13.280us           0 b           0 b      49.34 Mb           0 b            64  
